,상권업종대분류코드,상권업종대분류명,상권업종중분류코드,상권업종중분류명,상권업종소분류코드,상권업종소분류명,시도코드,시도명,시군구코드,시군구명,행정동코드,행정동명,법정동코드,법정동명,지번코드,경도,위도,좌표_x,대학교,면적(m^2),반경,시도,시군구,읍면동,하위,좌표_y,코드종류,읍면동코드,주소코드,1km 이내 거리(m)
1147720,D,소매,D03,종합소매점,D03A01,편의점,26,부산광역시,26320,북구,2632051000,구포1동,2632010500.0,구포동,2632010500104330005,129.001948689971,35.2073541830444,"(129.001948689971, 35.2073541830444)",부산과학기술대학교,130880.0,361.77340974704043,부산광역시,북구,구포동,-,"(129.00434843640252, 35.19467171615584)",B,2632010500,2632010500,565.0169875814917
1147757,D,소매,D21,철물/난방/건설자재소매,D21A06,철물/건설자재소매,26,부산광역시,26320,북구,2632052100,구포3동,2632010500.0,구포동,2632010500112140003,129.005537972377,35.2027363504457,"(129.005537972377, 35.2027363504457)",부산과학기술대학교,130880.0,361.77340974704043,부산광역시,북구,구포동,-,"(129.00434843640252, 35.19467171615584)",B,2632010500,2632010500,217.92029148117354
1147821,Q,음식,Q01,한식,Q01A01,한식/백반/한정식,26,부산광역시,26320,북구,2632056000,덕천2동,2632010400.0,덕천동,2632010400103840020,129.010518406099,35.2111679534448,"(129.010518406099, 35.2111679534448)",부산과학기술대학교,130880.0,361.77340974704043,부산광역시,북구,구포동,-,"(129.00434843640252, 35.19467171615584)",B,2632010500,2632010500,981.2353631002072
1147824,D,소매,D16,화장품소매,D16A01,화장품판매점,26,부산광역시,26320,북구,2632051000,구포1동,2632010500.0,구포동,2632010500101400005,129.006407098603,35.2090929456613,"(129.006407098603, 35.2090929456613)",부산과학기술대학교,130880.0,361.77340974704043,부산광역시,북구,구포동,-,"(129.00434843640252, 35.19467171615584)",B,2632010500,2632010500,673.1369700992454
1148086,Q,음식,Q01,한식,Q01A02,갈비/삼겹살,26,부산광역시,26320,북구,2632052000,구포2동,2632010500.0,구포동,2632010500108960002,128.995204251497,35.1964578935555,"(128.995204251497, 35.1964578935555)",부산과학기술대학교,130880.0,361.77340974704043,부산광역시,북구,구포동,-,"(129.00434843640252, 35.19467171615584)",B,2632010500,2632010500,662.6685989557286
1148133,R,학문/교육,R09,학원기타,R09A01,학원(종합),26,부산광역시,26320,북구,2632051000,구포1동,2632010500.0,구포동,2632010500105950011,129.004012870226,35.2082024189111,"(129.004012870226, 35.2082024189111)",부산과학기술대학교,130880.0,361.77340974704043,부산광역시,북구,구포동,-,"(129.00434843640252, 35.19467171615584)",B,2632010500,2632010500,585.8892455390619
1148144,D,소매,D20,의약/의료품소매,D20A01,의료용품소매,26,부산광역시,26320,북구,2632051000,구포1동,2632010500.0,구포동,2632010500107000100,129.004039369279,35.2032175092362,"(129.004039369279, 35.2032175092362)",부산과학기술대학교,130880.0,361.77340974704043,부산광역시,북구,구포동,-,"(129.00434843640252, 35.19467171615584)",B,2632010500,2632010500,237.27903440306034
1148192,D,소매,D05,의복의류,D05A16,교복판매,26,부산광역시,26320,북구,2632051000,구포1동,2632010500.0,구포동,2632010500107180024,129.00149863809,35.2046897897159,"(129.00149863809, 35.2046897897159)",부산과학기술대학교,130880.0,361.77340974704043,부산광역시,북구,구포동,-,"(129.00434843640252, 35.19467171615584)",B,2632010500,2632010500,407.5974183439388
1148326,L,부동산,L01,부동산중개,L01A01,부동산중개,26,부산광역시,26320,북구,2632051000,구포1동,2632010500.0,구포동,2632010500106200010,129.003767616577,35.206122240532,"(129.003767616577, 35.206122240532)",부산과학기술대학교,130880.0,361.77340974704043,부산광역시,북구,구포동,-,"(129.00434843640252, 35.19467171615584)",B,2632010500,2632010500,442.1721705705846
1148366,O,숙박,O02,모텔/여관/여인숙,O02A01,모텔/여관/여인숙,26,부산광역시,26320,북구,2632052000,구포2동,2632010500.0,구포동,2632010500110600255,128.995707857662,35.2044310740624,"(128.995707857662, 35.2044310740624)",부산과학기술대학교,130880.0,361.77340974704043,부산광역시,북구,구포동,-,"(129.00434843640252, 35.19467171615584)",B,2632010500,2632010500,817.0040478827696
1148405,Q,음식,Q09,유흥주점,Q09A07,기타일반유흥주점,26,부산광역시,26320,북구,2632056000,덕천2동,2632010400.0,덕천동,2632010400104140022,129.009119403709,35.20994471829,"(129.009119403709, 35.20994471829)",부산과학기술대학교,130880.0,361.77340974704043,부산광역시,북구,구포동,-,"(129.00434843640252, 35.19467171615584)",B,2632010500,2632010500,831.5525069968164
1148406,Q,음식,Q09,유흥주점,Q09A07,기타일반유흥주점,26,부산광역시,26320,북구,2632056000,덕천2동,2632010400.0,덕천동,2632010400104020034,129.008425546154,35.2097882491761,"(129.008425546154, 35.2097882491761)",부산과학기술대학교,130880.0,361.77340974704043,부산광역시,북구,구포동,-,"(129.00434843640252, 35.19467171615584)",B,2632010500,2632010500,789.2306004609263
1148529,L,부동산,L01,부동산중개,L01A01,부동산중개,26,부산광역시,26320,북구,2632051000,구포1동,2632010500.0,구포동,2632010500101460010,129.004687417986,35.2094677835487,"(129.004687417986, 35.2094677835487)",부산과학기술대학교,130880.0,361.77340974704043,부산광역시,북구,구포동,-,"(129.00434843640252, 35.19467171615584)",B,2632010500,2632010500,674.4025269710808
1148582,Q,음식,Q10,별식/퓨전요리,Q10A05,순대전문점,26,부산광역시,26320,북구,2632052000,구포2동,2632010500.0,구포동,2632010500107220012,129.001082352248,35.2047743573197,"(129.001082352248, 35.2047743573197)",부산과학기술대학교,130880.0,361.77340974704043,부산광역시,북구,구포동,-,"(129.00434843640252, 35.19467171615584)",B,2632010500,2632010500,433.0469197793416
