,기준년도,학교종류,설립구분,지역,상태,학교,입학정원,정원내(모집인원),정원내(지원자),정원내 입학자(남),정원내 입학자(여),정원내 신입생 충원율(정원내 입학자/정원내 모집인원),경쟁률(정원내 지원자/정원내 모집인원)
155,2020,대학교,사립,경기,기존,예원예술대학교 _제2캠퍼스,99.0,100.0,1057.0,25.0,73.0,98.0,10.6
156,2020,대학교,사립,경기,기존,용인대학교 ,1403.0,1412.0,13459.0,778.0,628.0,99.6,9.5
157,2020,대학교,사립,전북,기존,우석대학교 ,1715.0,1728.0,11400.0,1097.0,615.0,99.1,6.6
158,2020,대학교,사립,대전,기존,우송대학교 ,2004.0,2007.0,18079.0,1100.0,907.0,100.0,9.0
159,2020,대학교,특별법법인,울산,기존,울산과학기술원 ,360.0,360.0,3602.0,268.0,89.0,99.2,10.0
160,2020,대학교,사립,울산,기존,울산대학교 ,2732.0,2742.0,14330.0,1447.0,1280.0,99.5,5.2
161,2020,대학교,사립,전북,기존,원광대학교 ,3526.0,3541.0,21000.0,2114.0,1411.0,99.5,5.9
162,2020,사이버대학(대학),사립,전북,기존,원광디지털대학교 ,1500.0,1500.0,1558.0,308.0,989.0,86.5,1.0
163,2020,대학교,사립,경북,기존,위덕대학교 ,780.0,780.0,2856.0,388.0,382.0,98.7,3.7
164,2020,대학교,사립,충북,기존,유원대학교 ,875.0,878.0,4695.0,508.0,328.0,95.2,5.3
165,2020,대학교,사립,대전,기존,을지대학교 ,147.0,148.0,2576.0,52.0,96.0,100.0,17.4
166,2020,대학교,사립,경기,기존,을지대학교 _제2캠퍼스,882.0,882.0,11409.0,291.0,591.0,100.0,12.9
167,2020,대학교,사립,서울,기존,이화여자대학교 ,3027.0,3031.0,29059.0,0.0,3025.0,99.8,9.6
168,2020,대학교,사립,경남,기존,인제대학교 ,2168.0,2171.0,10831.0,1185.0,964.0,99.0,5.0
169,2020,대학교,사립,인천,기존,인천가톨릭대학교 ,16.0,16.0,24.0,15.0,0.0,93.8,1.5
170,2020,대학교,사립,인천,기존,인천가톨릭대학교 _제2캠퍼스,150.0,150.0,962.0,30.0,120.0,100.0,6.4
171,2020,대학교,국립대법인,인천,기존,인천대학교 ,2492.0,2497.0,16730.0,1405.0,1090.0,99.9,6.7
172,2020,대학교,사립,인천,기존,인하대학교 ,3411.0,3414.0,54007.0,1909.0,1502.0,99.9,15.8
173,2020,대학교,사립,서울,기존,장로회신학대학교 ,150.0,150.0,523.0,73.0,77.0,100.0,3.5
174,2020,대학교,국립,광주,기존,전남대학교 ,3188.0,3192.0,20940.0,1536.0,1655.0,100.0,6.6
175,2020,대학교,국립,전남,기존,전남대학교 _제2캠퍼스,702.0,706.0,4070.0,448.0,256.0,99.7,5.8
176,2020,대학교,국립,전북,기존,전북대학교 ,3788.0,3809.0,24461.0,2074.0,1724.0,99.7,6.4
