소재지(시군구)별,문화시설별,항목,단위,2020 년
부산광역시,문화예술진흥시설,면적,㎡,342833
부산광역시,전시시설,시설수,개,
부산광역시,전시시설,면적,㎡,
부산광역시,국제회의시설,시설수,개,
부산광역시,국제회의시설,면적,㎡,
부산광역시,공공도서관,시설수,개,15
부산광역시,공공도서관,면적,㎡,66860
부산광역시,전문도서관,시설수,개,
부산광역시,전문도서관,면적,㎡,
부산광역시,계,시설수,개,21
부산광역시,계,면적,㎡,336679
부산광역시,공연장,시설수,개,
부산광역시,공연장,면적,㎡,
부산광역시,박물관,시설수,개,
부산광역시,박물관,면적,㎡,
부산광역시,미술관,시설수,개,1
부산광역시,미술관,면적,㎡,15922
부산광역시,과학관,시설수,개,
부산광역시,과학관,면적,㎡,
부산광역시,문화산업단지,시설수,개,1
부산광역시,문화산업단지,면적,㎡,16800
부산광역시,문화산업진흥시설,시설수,개,
부산광역시,문화산업진흥시설,면적,㎡,
부산광역시,지방문화원,시설수,개,
부산광역시,지방문화원,면적,㎡,
부산광역시,문화예술진흥시설,시설수,개,19
부산광역시,문화예술진흥시설,면적,㎡,303957
부산광역시,전시시설,시설수,개,
부산광역시,전시시설,면적,㎡,
부산광역시,국제회의시설,시설수,개,
부산광역시,국제회의시설,면적,㎡,
부산광역시,공공도서관,시설수,개,
부산광역시,공공도서관,면적,㎡,
부산광역시,전문도서관,시설수,개,
부산광역시,전문도서관,면적,㎡,
중구,계,시설수,개,2
중구,계,면적,㎡,741
중구,공연장,시설수,개,
중구,공연장,면적,㎡,
중구,박물관,시설수,개,
중구,박물관,면적,㎡,
중구,미술관,시설수,개,
중구,미술관,면적,㎡,
중구,과학관,시설수,개,
중구,과학관,면적,㎡,
중구,문화산업단지,시설수,개,
중구,문화산업단지,면적,㎡,
중구,문화산업진흥시설,시설수,개,
중구,문화산업진흥시설,면적,㎡,
중구,지방문화원,시설수,개,
중구,지방문화원,면적,㎡,
중구,문화예술진흥시설,시설수,개,1
중구,문화예술진흥시설,면적,㎡,405
중구,전시시설,시설수,개,
중구,전시시설,면적,㎡,
중구,국제회의시설,시설수,개,
중구,국제회의시설,면적,㎡,
중구,공공도서관,시설수,개,1
중구,공공도서관,면적,㎡,336
중구,전문도서관,시설수,개,
중구,전문도서관,면적,㎡,
서구,계,시설수,개,1
서구,계,면적,㎡,2654
서구,공연장,시설수,개,
서구,공연장,면적,㎡,
서구,박물관,시설수,개,
